Wed Jun 15 21:34:26 UTC 2016
MEM;CPU
64.72;0.13
66.13;0.13
66.73;0.13
66.73;0.12
66.73;0.12
66.94;0.12
66.94;0.12
66.94;0.12
66.94;0.19
66.94;0.19
66.94;0.19
66.94;0.19
66.94;0.17
66.94;0.17
66.94;0.17
66.94;0.17
66.94;0.24
66.94;0.24
66.94;0.24
66.94;0.24
66.94;0.24
66.94;0.30
66.94;0.30
66.94;0.30
66.94;0.30
66.94;0.28
66.94;0.28
66.94;0.28
66.94;0.28
66.94;0.26
66.94;0.26
66.94;0.26
66.94;0.26
66.94;0.31
66.94;0.31
66.94;0.31
67.14;0.31
66.94;0.53
66.94;0.53
66.94;0.53
67.14;0.53
67.14;0.53
67.14;0.65
67.14;0.65
67.14;0.65
67.14;0.65
67.14;0.60
67.14;0.60
67.14;0.60
67.14;0.60
67.14;0.55
67.14;0.55
67.14;0.55
67.14;0.55
67.14;0.58
67.14;0.58
67.14;0.58
67.14;0.58
67.14;0.78
67.14;0.78
67.14;0.78
67.14;0.78
67.14;0.78
67.14;0.72
67.14;0.72
67.14;0.72
67.14;0.72
67.14;0.74
67.14;0.74
67.14;0.74
67.14;0.74
67.14;0.68
67.14;0.68
67.14;0.68
67.14;0.68
67.14;0.62
67.14;0.62
67.14;0.62
67.14;0.62
67.14;0.90
67.14;0.90
67.14;0.90
67.14;0.90
67.14;0.90
67.14;0.98
67.14;0.98
67.14;0.98
67.14;0.98
67.14;0.91
67.14;0.91
67.14;0.91
67.14;0.91
67.14;0.83
67.14;0.83
67.14;0.83
67.14;0.83
67.14;0.85
67.14;0.85
67.14;0.85
67.14;0.85
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;0.93
67.14;0.93
67.14;0.93
67.14;0.93
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;1.02
67.14;0.94
67.14;0.94
67.14;0.94
67.14;0.94
67.14;0.86
67.14;0.86
67.14;0.86
67.14;0.86
67.14;0.87
67.14;0.87
67.14;0.87
67.14;0.87
67.14;0.88
67.14;0.88
67.14;0.88
67.14;0.88
67.14;1.05
67.14;1.05
67.14;1.05
67.14;1.05
67.14;1.05
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;1.05
67.14;1.05
67.14;1.05
67.14;1.05
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.90
67.14;0.90
67.14;0.90
67.14;0.90
67.14;0.90
67.14;0.90
67.14;0.90
67.14;0.90
67.14;1.07
67.14;1.07
67.14;1.07
67.14;1.07
67.14;1.07
67.14;1.07
67.14;1.07
67.14;1.07
67.14;1.07
67.14;1.06
67.14;1.06
67.14;1.06
67.14;1.06
67.14;0.98
67.14;0.98
67.14;0.98
67.14;0.98
67.14;1.06
67.14;1.06
67.14;1.06
67.14;1.06
67.14;1.06
67.14;1.21
67.14;1.21
67.14;1.21
67.14;1.21
67.14;1.20
67.14;1.20
67.14;1.20
67.14;1.20
67.14;1.18
67.14;1.18
67.14;1.18
67.14;1.18
67.14;1.17
67.14;1.17
67.14;1.17
67.14;1.17
67.14;1.17
67.14;1.23
67.14;1.23
67.14;1.23
67.14;1.23
67.14;1.13
67.14;1.13
67.14;1.13
67.14;1.13
67.14;1.04
67.14;1.04
67.14;1.04
67.14;1.04
67.14;1.04
67.14;1.04
67.14;1.04
67.14;1.04
67.14;1.04
67.14;1.04
67.34;1.04
67.14;1.04
67.14;1.04
67.14;0.95
67.14;0.95
67.14;0.95
67.14;0.95
67.14;0.88
67.14;0.88
67.14;0.88
67.14;0.88
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.97
67.14;0.89
67.14;0.89
67.14;0.89
67.34;0.89
67.14;1.06
67.14;1.06
67.14;1.06
67.14;1.06
67.14;1.06
67.14;1.05
67.14;1.05
67.34;1.05
67.14;1.05
67.14;0.97
67.14;0.97
67.34;0.97
67.14;0.97
67.14;0.89
67.14;0.89
67.14;0.89
67.14;0.89
67.14;0.82
67.14;0.82
67.14;0.82
67.34;0.82
67.14;0.82
67.14;0.75
67.14;0.75
67.14;0.75
67.14;0.75
67.14;0.77
67.14;0.77
67.14;0.77
67.14;0.77
67.14;0.79
67.34;0.79
67.34;0.79
67.34;0.79
67.34;0.73
67.34;0.73
67.34;0.73
67.34;0.73
67.34;0.73
67.34;0.83
67.34;0.83
67.34;0.83
67.34;0.83
67.34;0.76
67.34;0.76
67.34;0.76
67.34;0.76
67.34;0.86
67.34;0.86
67.34;0.86
67.34;0.86
67.34;0.87
67.34;0.87
67.34;0.87
67.34;0.87
67.34;0.88
67.34;0.88
67.34;0.88
67.34;0.88
67.34;0.88
67.34;0.81
67.34;0.81
67.34;0.81
67.34;0.81
67.34;0.75
67.34;0.75
67.34;0.75
67.34;0.75
67.34;0.77
67.34;0.77
67.34;0.77
67.34;0.77
67.34;0.87
67.34;0.87
67.34;0.87
67.34;0.87
67.34;1.04
67.34;1.04
67.34;1.04
67.34;1.04
67.34;1.04
67.34;1.04
67.34;1.04
67.34;1.04
67.34;1.04
67.34;0.95
67.34;0.95
67.34;0.95
67.34;0.95
67.34;0.88
67.34;0.88
67.34;0.88
67.34;0.88
67.34;0.89
67.34;0.89
67.34;0.89
67.34;0.89
67.34;1.06
67.34;1.06
67.34;1.06
67.34;1.06
67.34;1.06
67.34;1.13
67.34;1.13
67.34;1.13
