Wed Jun 15 21:10:26 UTC 2016
MEM;CPU
64.52;0.06
65.73;0.06
66.73;0.06
67.94;0.06
68.55;0.05
69.76;0.05
70.77;0.05
70.97;0.05
71.37;0.21
71.57;0.21
71.98;0.21
72.18;0.21
72.58;0.21
73.39;0.35
74.40;0.35
74.60;0.35
74.80;0.35
74.80;0.49
74.80;0.49
75.60;0.49
76.61;0.49
77.42;0.49
77.82;0.61
78.43;0.61
78.63;0.61
78.83;0.61
78.83;0.61
78.83;0.72
78.83;0.72
78.83;0.72
78.83;0.72
78.83;0.66
78.83;0.66
78.83;0.66
78.83;0.66
78.83;0.69
78.83;0.69
78.83;0.69
78.83;0.69
78.83;0.71
78.83;0.71
78.83;0.71
78.83;0.71
78.83;0.74
78.83;0.74
78.83;0.74
78.83;0.74
78.83;0.76
78.83;0.76
78.83;0.76
79.03;0.76
78.83;0.76
78.83;0.78
78.83;0.78
78.83;0.78
79.03;0.78
79.03;0.79
79.03;0.79
79.03;0.79
79.03;0.79
79.03;0.81
79.23;0.81
79.64;0.81
79.84;0.81
80.24;0.99
80.85;0.99
81.25;0.99
81.45;0.99
81.65;0.99
81.85;0.99
82.06;0.99
82.06;0.99
82.26;0.99
82.26;0.91
82.26;0.91
82.26;0.91
82.26;0.91
82.26;1.08
82.26;1.08
82.26;1.08
82.26;1.08
82.26;1.08
82.26;0.99
82.26;0.99
82.26;0.99
82.46;0.99
82.46;0.99
82.46;0.99
82.46;0.99
82.46;0.99
82.46;1.15
82.46;1.15
82.46;1.15
82.46;1.15
82.46;1.15
82.46;1.14
82.46;1.14
82.46;1.14
82.46;1.14
82.46;1.05
82.46;1.05
82.46;1.05
82.46;1.05
82.46;1.12
82.46;1.12
82.46;1.12
82.46;1.12
82.46;1.19
82.46;1.19
82.46;1.19
82.46;1.19
82.46;1.18
82.46;1.18
82.46;1.18
82.46;1.18
82.46;1.25
82.46;1.25
82.46;1.25
82.46;1.25
82.46;1.31
82.46;1.31
82.46;1.31
82.46;1.31
82.46;1.31
82.46;1.28
82.46;1.28
82.46;1.28
82.46;1.28
82.46;1.34
82.46;1.34
82.46;1.34
82.46;1.34
82.46;1.23
82.46;1.23
82.46;1.23
82.46;1.23
82.46;1.37
82.46;1.37
82.46;1.37
82.46;1.37
82.46;1.34
82.46;1.34
82.46;1.34
82.46;1.34
82.46;1.40
82.46;1.40
82.46;1.40
82.46;1.40
82.46;1.28
82.46;1.28
82.46;1.28
82.46;1.28
82.46;1.34
82.46;1.34
82.46;1.34
82.46;1.34
82.46;1.39
82.46;1.39
82.46;1.39
82.46;1.39
82.46;1.39
82.46;1.36
82.46;1.36
82.46;1.36
82.46;1.36
82.46;1.33
82.46;1.33
82.46;1.33
82.46;1.33
82.46;1.31
82.46;1.31
82.46;1.31
82.46;1.31
82.46;1.20
82.46;1.20
82.46;1.20
82.46;1.20
82.46;1.19
82.46;1.19
82.46;1.19
82.46;1.19
82.46;1.41
82.46;1.41
82.46;1.41
82.46;1.41
82.46;1.41
82.46;1.38
82.46;1.38
82.46;1.38
82.46;1.38
82.46;1.43
82.46;1.43
82.46;1.43
82.46;1.43
82.46;1.31
82.46;1.31
82.46;1.31
82.46;1.31
82.46;1.21
82.46;1.21
82.46;1.21
82.46;1.21
82.46;1.19
82.46;1.19
82.46;1.19
82.46;1.19
82.46;1.34
82.46;1.34
82.46;1.34
82.46;1.34
82.46;1.34
82.46;1.31
82.46;1.31
82.46;1.31
82.46;1.31
82.46;1.29
82.46;1.29
82.46;1.29
82.46;1.29
82.46;1.34
82.46;1.34
82.46;1.34
82.46;1.34
82.66;1.23
82.46;1.23
82.46;1.23
82.46;1.23
82.46;1.14
82.46;1.14
82.46;1.14
82.46;1.14
82.46;1.37
82.46;1.37
82.46;1.37
82.66;1.37
82.46;1.37
82.46;1.34
82.46;1.34
82.66;1.34
82.46;1.34
82.46;1.39
82.46;1.39
82.46;1.39
82.46;1.39
82.46;1.28
82.46;1.28
82.46;1.28
82.66;1.28
82.46;1.34
82.46;1.34
82.46;1.34
82.66;1.34
82.66;1.23
82.66;1.23
82.66;1.23
82.66;1.23
82.66;1.21
82.66;1.21
82.66;1.21
82.66;1.21
82.66;1.43
82.66;1.43
82.66;1.43
82.66;1.43
82.66;1.43
82.66;1.40
82.66;1.40
82.66;1.40
82.66;1.40
82.66;1.29
82.66;1.29
82.66;1.29
82.66;1.29
82.66;1.26
82.66;1.26
82.66;1.26
82.66;1.26
82.66;1.40
82.66;1.40
82.66;1.40
82.66;1.40
82.66;1.37
82.66;1.37
82.66;1.37
82.66;1.37
82.66;1.34
82.66;1.34
82.66;1.34
82.66;1.34
82.66;1.23
82.66;1.23
82.66;1.23
82.66;1.23
82.66;1.23
82.66;1.46
82.66;1.46
82.66;1.46
82.66;1.46
82.66;1.34
82.66;1.34
82.66;1.34
82.66;1.34
82.66;1.31
82.66;1.31
82.66;1.31
82.66;1.31
82.66;1.37
82.66;1.37
82.66;1.37
82.66;1.37
82.66;1.34
82.66;1.34
82.66;1.34
82.66;1.34
82.66;1.31
82.66;1.31
82.66;1.31
82.66;1.31
82.66;1.37
82.66;1.37
82.66;1.37
82.66;1.37
82.66;1.37
82.66;1.34
82.66;1.34
82.66;1.34
82.66;1.34
82.66;1.47
