Wed Jun 15 20:22:51 UTC 2016
MEM;CPU
63.91;0.25
65.12;0.25
66.33;0.47
67.34;0.47
68.15;0.47
69.15;0.47
70.16;0.47
70.56;0.51
70.77;0.51
71.17;0.51
71.37;0.51
71.77;0.55
71.98;0.55
72.78;0.55
73.79;0.55
73.99;0.55
74.19;0.59
74.19;0.59
74.19;0.59
75.20;0.59
76.01;0.59
76.81;0.70
77.22;0.70
77.82;0.70
78.02;0.70
78.02;0.80
78.02;0.80
78.02;0.80
78.02;0.80
78.23;0.90
78.23;0.90
78.23;0.90
78.23;0.90
78.23;0.99
78.23;0.99
78.23;0.99
78.23;0.99
78.23;0.99
78.23;0.91
78.23;0.91
78.23;0.91
78.23;0.91
78.23;1.08
78.23;1.08
78.23;1.08
78.23;1.08
78.23;1.07
78.23;1.07
78.23;1.07
78.23;1.07
78.23;0.98
78.23;0.98
78.23;0.98
78.23;0.98
78.23;0.91
78.23;0.91
78.23;0.91
78.23;0.91
78.43;0.83
78.43;0.83
78.43;0.83
78.43;0.83
78.43;0.85
78.43;0.85
78.43;0.85
78.43;0.85
78.43;0.86
78.43;0.86
78.43;0.86
78.63;0.86
79.03;0.86
79.23;0.95
79.44;0.95
79.84;0.95
80.44;0.95
80.65;0.95
80.85;0.95
81.05;0.95
81.05;0.95
81.25;1.12
81.45;1.12
81.45;1.12
81.45;1.12
81.65;1.12
81.45;1.03
81.45;1.03
81.45;1.03
81.45;1.03
81.65;0.95
81.65;0.95
81.65;0.95
81.65;0.95
81.65;1.03
81.65;1.03
81.65;1.03
81.65;1.03
81.65;0.95
81.65;0.95
81.65;0.95
81.65;0.95
81.65;0.95
81.65;0.87
81.65;0.87
81.65;0.87
81.65;0.87
81.65;0.80
81.65;0.80
81.65;0.80
81.65;0.80
81.65;0.74
81.65;0.74
81.65;0.74
81.85;0.74
81.65;0.68
81.65;0.68
81.65;0.68
81.65;0.68
81.65;0.62
81.65;0.62
81.65;0.62
81.65;0.62
81.65;0.57
81.65;0.57
81.65;0.57
81.65;0.57
81.65;0.61
81.65;0.61
81.65;0.61
81.65;0.61
81.65;0.56
81.65;0.56
81.65;0.56
81.65;0.56
81.65;0.56
81.65;0.60
81.65;0.60
81.65;0.60
81.85;0.60
81.65;0.55
81.65;0.55
81.65;0.55
81.65;0.55
81.65;0.58
81.65;0.58
81.65;0.58
81.65;0.58
81.65;0.62
81.65;0.62
81.65;0.62
81.65;0.62
81.65;0.57
81.65;0.57
81.65;0.57
81.65;0.57
81.85;0.52
81.85;0.52
81.85;0.52
81.85;0.52
81.85;0.52
81.85;0.48
81.85;0.48
81.85;0.48
81.85;0.48
81.85;0.52
81.85;0.52
81.85;0.52
81.85;0.52
81.85;0.48
81.85;0.48
81.85;0.48
81.85;0.48
81.85;0.68
81.85;0.68
81.85;0.68
81.85;0.68
81.85;0.63
81.85;0.63
81.85;0.63
81.85;0.63
81.85;0.58
81.85;0.58
81.85;0.58
81.85;0.58
81.85;0.61
81.85;0.61
81.85;0.61
81.85;0.61
81.85;0.64
81.85;0.64
81.85;0.64
81.85;0.64
81.85;0.59
81.85;0.59
81.85;0.59
81.85;0.59
81.85;0.59
81.85;0.62
81.85;0.62
81.85;0.62
81.85;0.62
81.85;0.65
81.85;0.65
81.85;0.65
81.85;0.65
81.85;0.65
81.85;0.68
81.85;0.68
81.85;0.68
81.85;0.68
81.85;0.71
81.85;0.71
