Wed Jun 15 20:59:38 UTC 2016
MEM;CPU
64.31;0.79
65.52;0.73
66.33;0.73
66.33;0.73
66.33;0.73
66.33;0.73
66.33;0.83
66.33;0.83
66.33;0.83
66.53;0.83
66.53;0.84
66.53;0.84
66.53;0.84
66.53;0.84
66.53;1.02
66.53;1.02
66.53;1.02
66.53;1.02
66.53;1.02
66.53;1.02
66.53;1.02
66.53;1.02
66.53;0.93
66.53;0.93
66.53;0.93
66.53;0.93
66.53;1.02
66.53;1.02
66.53;1.02
66.53;1.02
66.53;1.02
66.53;1.18
66.53;1.18
66.53;1.18
66.53;1.18
66.53;1.08
66.53;1.08
66.53;1.08
66.53;1.08
66.53;1.16
66.53;1.16
66.53;1.16
66.53;1.16
66.53;1.14
66.53;1.14
66.53;1.14
66.53;1.14
66.53;1.29
66.53;1.29
66.53;1.29
66.53;1.29
66.53;1.59
66.53;1.59
66.53;1.59
66.53;1.59
66.53;1.59
66.53;1.54
66.53;1.54
66.53;1.54
66.53;1.54
66.53;1.50
66.53;1.50
66.53;1.50
66.73;1.50
66.53;1.38
66.53;1.38
66.53;1.38
66.73;1.38
66.73;1.35
66.73;1.35
66.73;1.35
66.73;1.35
66.73;1.24
66.73;1.24
66.73;1.24
66.73;1.24
66.73;1.30
66.73;1.30
66.73;1.30
66.73;1.30
66.73;1.36
66.73;1.36
66.73;1.36
66.73;1.36
66.73;1.41
66.73;1.41
66.73;1.41
66.73;1.41
66.73;1.41
66.73;1.30
66.73;1.30
66.73;1.30
66.73;1.30
66.73;1.19
66.73;1.19
66.73;1.19
66.73;1.19
66.73;1.26
66.73;1.26
66.73;1.26
66.73;1.26
66.73;1.24
66.73;1.24
66.73;1.24
66.73;1.24
66.73;1.38
66.73;1.38
66.73;1.38
66.73;1.38
66.73;1.51
66.73;1.51
66.73;1.51
66.73;1.51
66.73;1.55
66.73;1.55
66.73;1.55
66.73;1.55
66.73;1.55
66.73;1.58
66.73;1.58
66.73;1.58
66.73;1.58
66.73;1.54
66.73;1.54
66.73;1.54
66.73;1.54
66.73;1.49
66.73;1.49
66.73;1.49
66.73;1.49
66.73;1.45
66.73;1.45
66.73;1.45
66.73;1.45
66.73;1.42
66.73;1.42
66.73;1.42
66.73;1.42
66.73;1.54
66.73;1.54
66.73;1.54
66.73;1.54
66.73;1.66
66.73;1.66
66.73;1.66
66.73;1.66
66.73;1.77
66.73;1.77
66.73;1.77
66.73;1.77
66.73;1.77
66.73;1.87
66.73;1.87
66.73;1.87
66.73;1.87
66.73;1.88
66.73;1.88
66.73;1.88
66.73;1.88
66.73;1.73
66.73;1.73
66.73;1.73
66.73;1.73
66.73;1.59
66.73;1.59
66.73;1.59
66.73;1.59
66.73;1.46
66.73;1.46
66.73;1.46
66.73;1.46
66.73;1.42
66.73;1.42
66.73;1.42
66.73;1.42
66.73;1.39
66.73;1.39
66.73;1.39
66.73;1.39
66.73;1.52
66.73;1.52
66.73;1.52
66.73;1.52
66.73;1.72
66.73;1.72
66.73;1.72
66.73;1.72
66.73;1.98
66.73;1.98
66.73;1.98
66.73;1.98
66.73;1.98
66.73;2.06
66.73;2.06
66.73;2.06
66.73;2.06
66.73;1.98
66.73;1.98
66.73;1.98
66.73;1.98
66.73;1.90
66.73;1.90
66.73;1.90
66.73;1.90
66.73;1.83
66.73;1.83
66.73;1.83
66.73;1.83
66.73;1.76
66.73;1.76
66.73;1.76
66.73;1.76
66.73;1.78
66.73;1.78
66.73;1.78
66.73;1.78
66.73;1.88
66.73;1.88
66.73;1.88
66.73;1.88
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.97
66.73;1.90
66.73;1.90
66.73;1.90
66.73;1.90
66.73;1.82
66.73;1.82
66.73;1.82
66.73;1.82
66.73;1.76
66.73;1.76
66.73;1.76
66.73;1.76
66.73;1.86
66.73;1.86
66.73;1.86
66.73;1.86
66.73;1.87
66.73;1.87
66.73;1.87
66.73;1.87
66.73;1.87
66.73;1.88
66.73;1.88
66.73;1.88
66.73;1.88
66.73;1.89
66.73;1.89
66.73;1.89
66.73;1.89
66.73;1.90
66.73;1.90
66.73;1.90
66.73;1.90
66.73;1.83
66.73;1.83
66.73;1.83
66.73;1.83
66.73;1.76
66.73;1.76
66.73;1.76
66.73;1.76
66.73;1.70
